Location,Lat,Long,WC_TEMP,WC_SUMMER,WC_PREC,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec,MEAN,SumT,Depth,Elev
VI-04-26,67.81,-106.46,-13.6,6.4,14.9,-32.9,-32.5,-29.5,-20.1,-7.9,3,9.2,7.3,0.4,-10,-22.4,-28.8,-13.68333333,8.25,2.2,95
VI-04-27,67.84,-106.56,-13.7,6.4,14.9,-32.9,-32.5,-29.5,-20.3,-8.1,3,9.1,7.2,0.3,-10.1,-22.5,-28.8,-13.75833333,8.15,1,89
VI-04-28,67.96,-106.64,-13.6,6.5,14.6,-32.9,-32.5,-29.5,-20.3,-8.1,3,9.1,7.2,0.3,-10.1,-22.5,-28.8,-13.75833333,8.15,1,56
VI-04-29,68.05,-106.69,-13.6,6.5,14.1,-32.8,-32.5,-29.6,-20.4,-8.2,2.9,9.1,7.2,0.2,-10.2,-22.6,-28.8,-13.80833333,8.15,3.1,19
VI-04-31,70.33,-106.24,-15.6,4.1,11.4,-33.3,-33.7,-31.2,-22.9,-10.3,1.1,7,4.9,-1.9,-12.7,-24.4,-29.8,-15.6,5.95,1.1,160
VI-04-32,70.24,-106.11,-15.6,4.2,11.8,-33.4,-33.8,-31.3,-23,-10.4,1,6.9,4.8,-2,-12.8,-24.4,-29.9,-15.69166667,5.85,1.15,168
VI-04-33,70.15,-106.07,-15.7,4.1,12,-33.4,-33.8,-31.3,-22.9,-10.3,1.1,7,4.9,-1.9,-12.7,-24.4,-29.9,-15.63333333,5.95,0.8,191
VI-04-34,70.06,-106.01,-15.6,4.2,12.4,-33.4,-33.8,-31.3,-22.9,-10.3,1.1,7,4.9,-1.9,-12.7,-24.4,-29.9,-15.63333333,5.95,2.9,190
VI-04-35,69.99,-105.932,-15.4,4.4,12.1,-33.4,-33.8,-31.2,-22.8,-10.2,1.2,7.2,5.1,-1.6,-12.5,-24.3,-29.9,-15.51666667,6.15,0.8,179
VI-04-36,69.88,-105.79,-15.4,4.4,12.7,-33.5,-33.9,-31.3,-22.9,-10.3,1.1,7,5,-1.7,-12.6,-24.4,-30,-15.625,6,3.4,151
VI-04-37,69.8,-105.7,-15.4,4.5,12.7,-33.5,-33.8,-31.2,-22.7,-10.1,1.3,7.2,5.3,-1.5,-12.4,-24.2,-29.9,-15.45833333,6.25,4.9,175
VI-04-38,69.73,-105.65,-15.3,4.5,13,-33.5,-33.8,-31.2,-22.7,-10.1,1.2,7.2,5.2,-1.6,-12.5,-24.3,-29.9,-15.5,6.2,0.85,161
VI-04-39,69.61,-105.55,-15.3,4.6,13.1,-33.5,-33.7,-31.1,-22.5,-10,1.4,7.4,5.5,-1.3,-12.3,-24.1,-29.8,-15.33333333,6.45,1.5,150
VI-04-40,70.99,-107.03,-15.7,3.9,10.1,-33,-33.7,-31.3,-23.2,-10.5,0.9,6.7,4.4,-2.3,-13.1,-24.5,-29.8,-15.78333333,5.55,1,122
VI-04-41,70.87,-106.86,-15.7,3.9,10.5,-33,-33.7,-31.3,-23.2,-10.5,1,6.7,4.4,-2.3,-13.1,-24.5,-29.8,-15.775,5.55,0.5,127
VI-04-42,70.83,-106.77,-15.8,3.9,10.5,-33.1,-33.7,-31.3,-23.1,-10.4,1,6.7,4.5,-2.2,-13,-24.5,-29.8,-15.74166667,5.6,0.9,139
VI-04-43,70.753,-106.636,-15.7,4,10.4,-33.1,-33.7,-31.3,-23.1,-10.4,1,6.8,4.6,-2.1,-13,-24.4,-29.8,-15.70833333,5.7,5.1,130
VI-04-44,70.68,-106.56,-15.6,4.1,10.5,-33.1,-33.7,-31.3,-23.1,-10.4,1,6.8,4.6,-2.1,-13,-24.4,-29.8,-15.70833333,5.7,2.5,110
VI-04-45,70.64,-106.43,-15.6,4.1,10.8,-33.2,-33.8,-31.3,-23.1,-10.4,1,6.8,4.6,-2.1,-13,-24.5,-29.9,-15.74166667,5.7,3.1,116
VI-04-46,70.56,-106.36,-15.6,4,11,-33.2,-33.8,-31.3,-23.1,-10.4,1,6.8,4.6,-2.1,-13,-24.5,-29.9,-15.74166667,5.7,0.85,152
VI-04-47,70.5,-106.18,-15.6,4.1,11.1,-33.3,-33.8,-31.4,-23.1,-10.5,0.9,6.8,4.6,-2.1,-13,-24.5,-29.9,-15.775,5.7,3.1,119
VI-04-48,70.45,-106.2,-15.8,3.9,11.3,-33.3,-33.8,-31.4,-23.1,-10.5,0.9,6.8,4.6,-2.1,-13,-24.5,-29.9,-15.775,5.7,2.6,168
VI-04-49,70.36,-106.26,-15.7,4.1,11.7,-33.3,-33.8,-31.4,-23.1,-10.5,0.9,6.8,4.6,-2.1,-13,-24.5,-29.9,-15.775,5.7,3.4,168
VI-04-50,69.56,-105.5,-15.3,4.6,13.3,-33.6,-33.8,-31.2,-22.7,-10.1,1.3,7.3,5.3,-1.4,-12.4,-24.2,-29.9,-15.45,6.3,1,127
VI-04-51,70.11,-105.6,-15.7,4,12.7,-33.6,-34,-31.5,-23.1,-10.5,0.9,6.8,4.7,-2,-12.9,-24.5,-30.1,-15.81666667,5.75,1.15,179
VI-04-53,69.95,-105.54,-15.6,4.2,12.8,-33.6,-33.9,-31.4,-23,-10.3,1,6.9,4.9,-1.8,-12.7,-24.4,-30,-15.69166667,5.9,2.5,183
VI-04-54,69.89,-105.48,-15.6,4.2,12.9,-33.6,-33.9,-31.3,-22.9,-10.3,1,7,5,-1.7,-12.7,-24.4,-30,-15.65,6,6.9,161
VI-04-55,69.81,-105.49,-15.3,4.6,12.6,-33.5,-33.8,-31.2,-22.7,-10.1,1.2,7.2,5.2,-1.5,-12.4,-24.2,-29.9,-15.475,6.2,1.05,130
VI-04-56,69.72,-105.39,-15.3,4.5,12.9,-33.5,-33.8,-31.2,-22.7,-10.1,1.2,7.2,5.2,-1.5,-12.4,-24.2,-29.9,-15.475,6.2,2.55,131
